mu_eV,T_K,PF_W_per_mK2
-1.84271,300,0
-1.84271,400,0
-1.84271,500,0
-1.84271,600,0
-1.82979,300,0
-1.82979,400,0
-1.82979,500,0
-1.82979,600,0
-1.81688,300,0
-1.81688,400,0
-1.81688,500,0
-1.81688,600,0
-1.80395,300,0
-1.80395,400,0
-1.80395,500,0
-1.80395,600,0
-1.79103,300,0
-1.79103,400,0
-1.79103,500,0
-1.79103,600,0
-1.77812,300,0
-1.77812,400,0
-1.77812,500,0
-1.77812,600,0
-1.76519,300,0
-1.76519,400,0
-1.76519,500,0
-1.76519,600,0
-1.75226,300,0
-1.75226,400,0
-1.75226,500,0
-1.75226,600,0
-1.73935,300,0
